Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,text_3.started,text_3.stopped,Checkerboard.started,Checkerboard.stopped,Checkerboard2.started,Checkerboard2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,6.440243499819189,None,space,37.23656660015695,6.440243499819189,None,,,,,,,,,XXX,2022_Mar_07_1627,Checkerboard,2021.2.0,59.92110792430236,
0,0,0,0,0,0,0,0,,,,,,,43.69700149982236,None,58.69601679989137,None,59.196454299846664,59.796160199912265,59.77925919997506,None,XXX,2022_Mar_07_1627,Checkerboard,2021.2.0,59.92110792430236,
0,0,0,0,1,0,1,0,,,,,,,,,,,60.379234599880874,60.97921019978821,60.96270659985021,60.379234599880874,XXX,2022_Mar_07_1627,Checkerboard,2021.2.0,59.92110792430236,
0,0,0,0,2,0,2,0,,,,,,,,,,,61.56271329987794,62.16268219985068,62.14619279978797,61.56271329987794,XXX,2022_Mar_07_1627,Checkerboard,2021.2.0,59.92110792430236,
0,0,0,0,3,0,3,0,,,,,,,,,,,62.74556999979541,63.34585119993426,63.32934459997341,62.74556999979541,XXX,2022_Mar_07_1627,Checkerboard,2021.2.0,59.92110792430236,
0,0,0,0,4,0,4,0,,,,,,,,,,,63.928969299886376,64.52900779992342,64.51234699995257,63.928969299886376,XXX,2022_Mar_07_1627,Checkerboard,2021.2.0,59.92110792430236,
0,0,0,0,5,0,5,0,,,,,,,,,,,65.11230169981718,65.71286319987848,65.6969493997749,65.11230169981718,XXX,2022_Mar_07_1627,Checkerboard,2021.2.0,59.92110792430236,
0,0,0,0,6,0,6,0,,,,,,,,,,,66.31280349986628,66.9122259998694,66.89548609987833,66.31280349986628,XXX,2022_Mar_07_1627,Checkerboard,2021.2.0,59.92110792430236,
0,0,0,0,7,0,7,0,,,,,,,,,,,67.49581719981506,68.09574039978907,68.07887889980339,67.49581719981506,XXX,2022_Mar_07_1627,Checkerboard,2021.2.0,59.92110792430236,
0,0,0,0,8,0,8,0,,,,,,,,,,,68.67881279997528,69.27893239981495,69.26238599978387,68.67881279997528,XXX,2022_Mar_07_1627,Checkerboard,2021.2.0,59.92110792430236,
