Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,text_3.started,text_3.stopped,Checkerboard.started,Checkerboard.stopped,Checkerboard2.started,Checkerboard2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,6.3703398001380265,None,space,4.8944441000930965,6.3703398001380265,None,,,,,,,,,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
0,0,0,0,0,0,0,0,,,,,,,11.28583459998481,None,26.284858100116253,None,26.785700500011444,27.38455060007982,27.368188200052828,None,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
0,0,0,0,1,0,1,0,,,,,,,,,,,27.96774800005369,28.56780970003456,28.551080900011584,27.96774800005369,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
0,0,0,0,2,0,2,0,,,,,,,,,,,29.151230399962515,29.751191599993035,29.734478200087324,29.151230399962515,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
0,0,0,0,3,0,3,0,,,,,,,,,,,30.335355299990624,30.934631100157276,30.91769260005094,30.335355299990624,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
0,0,0,0,4,0,4,0,,,,,,,,,,,31.51783929998055,32.117958300048485,32.101123800035566,31.51783929998055,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
0,0,0,0,5,0,5,0,,,,,,,,,,,32.701030700001866,33.301036400021985,33.284344600047916,32.701030700001866,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
0,0,0,0,6,0,6,0,,,,,,,,,,,33.88438310008496,34.48431540001184,34.46762310015038,33.88438310008496,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
0,0,0,0,7,0,7,0,,,,,,,,,,,35.06771880015731,35.667527300072834,35.65114450012334,35.06771880015731,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
0,0,0,0,8,0,8,0,,,,,,,,,,,36.25130440015346,36.85098460013978,36.834402200067416,36.25130440015346,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
0,0,0,0,9,0,9,0,,,,,,,,,,,37.43418250000104,38.03411650005728,38.01730279996991,37.43418250000104,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
0,0,0,0,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
