condition,textstim,textdur,sound,recoverydur,stopsound,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_9.started,text_9.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_5.started,text_5.stopped,sound_3.started,sound_3.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,Baseline_text.started,Baseline_text.stopped,text_10.started,text_10.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,sound_2.started,sound_2.stopped,text_3.started,text_3.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,6.015946500003338,None,space,13.419679700004053,6.015946500003338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,XXX,2022_Jun_08_0924,Fingertapping,2021.2.0,59.482490434556055,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,0,0,0,0,,,,,,,19.4523354999983,21.452244200001587,22.436063889997605,None,22.435716899999534,23.435700000001816,23.435700000001816,24.435496100006276,24.435496100006276,25.43562109999766,25.585581999999704,27.585486600000877,27.56879950000439,None,47.59233719999611,48.6010968000046,0.01588308000646066,None,47.59233719999611,None,57.60075739999593,58.60065279999981,57.600969790002274,None,57.60075739999593,None,XXX,2022_Jun_08_0924,Fingertapping,2021.2.0,59.482490434556055,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,72.5999262999976,73.59974720000173,0.012356890016235411,None,72.5999262999976,None,82.5995103000023,83.59942280000541,82.59941548999777,None,82.5995103000023,None,XXX,2022_Jun_08_0924,Fingertapping,2021.2.0,59.482490434556055,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,97.59878719999688,98.59890270000324,0.012583389994688332,None,97.59878719999688,None,107.59832340000139,108.59822149999673,107.5982028900049,None,107.59832340000139,None,XXX,2022_Jun_08_0924,Fingertapping,2021.2.0,59.482490434556055,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,3,0,3,0,,,,,,,,,,,,,,,,,,,,,122.59749119999469,123.59744409999985,0.012364089998300187,None,122.59749119999469,None,132.59702630000538,133.59699000000546,132.5969953900072,None,132.59702630000538,None,XXX,2022_Jun_08_0924,Fingertapping,2021.2.0,59.482490434556055,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,4,0,4,0,,,,,,,,,,,,,,,,,,,,,147.5962273000041,148.59604859999672,0.012605690004420467,None,147.5962273000041,None,157.59572749999643,158.59580359999381,157.595702289998,None,157.59572749999643,None,XXX,2022_Jun_08_0924,Fingertapping,2021.2.0,59.482490434556055,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,5,0,5,0,,,,,,,,,,,,,,,,,,,,,172.59490460000234,173.59491200000048,0.012292389990761876,None,172.59490460000234,None,182.59489520000352,183.59450180000567,182.59431048999394,None,182.59489520000352,None,XXX,2022_Jun_08_0924,Fingertapping,2021.2.0,59.482490434556055,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,6,0,6,0,,,,,,,,,,,,,,,,,,,,,197.61044319999928,198.61051500000758,0.014237689989386126,None,197.61044319999928,None,207.60979339999903,208.61004580000008,207.60991278999572,None,207.60979339999903,None,XXX,2022_Jun_08_0924,Fingertapping,2021.2.0,59.482490434556055,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,7,0,7,0,,,,,,,,,,,,,,,,,,,,,222.6095062999957,223.60914000000048,0.012629189994186163,None,222.6095062999957,None,232.60900989999936,233.6086718000006,232.60862189000326,None,232.60900989999936,None,XXX,2022_Jun_08_0924,Fingertapping,2021.2.0,59.482490434556055,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,8,0,8,0,,,,,,,,,,,,,,,,,,,,,247.6083762000053,248.6080554999935,0.012704389984719455,None,247.6083762000053,None,257.623929399997,258.6241003000032,257.62402588999396,None,257.623929399997,None,XXX,2022_Jun_08_0924,Fingertapping,2021.2.0,59.482490434556055,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,9,0,9,0,,,,,,,,,,,,,,,,,,,,,272.62339619999693,273.62359030000516,0.012652089993935078,None,272.62339619999693,None,282.6229294000077,283.6229083000071,282.62286448999805,None,282.6229294000077,None,XXX,2022_Jun_08_0924,Fingertapping,2021.2.0,59.482490434556055,
