condition,textstim,textdur,sound,recoverydur,stopsound,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_9.started,text_9.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_5.started,text_5.stopped,sound_3.started,sound_3.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,Baseline_text.started,Baseline_text.stopped,text_10.started,text_10.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,sound_2.started,sound_2.stopped,text_3.started,text_3.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,6.077254300005734,None,space,26.057495999964885,6.077254300005734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,XXX,2022_Jun_14_1715,Fingertapping,2021.2.0,59.864287657928564,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,0,0,0,0,,,,,,,32.1629527999321,34.16309269994963,35.14626347990706,None,35.146188399987295,36.14607369992882,36.14607369992882,37.146172099979594,37.146172099979594,38.145999799948186,38.29584719997365,40.29591069999151,40.27913299994543,None,60.279739799909294,61.29479670000728,0.00549597991630435,None,60.279739799909294,None,70.29437009990215,71.29416889999993,70.29453088000882,None,70.29437009990215,None,XXX,2022_Jun_14_1715,Fingertapping,2021.2.0,59.864287657928564,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,85.29374989995267,86.29325250000693,0.0123116800095886,None,85.29374989995267,None,95.29313090001233,96.2932113999268,95.29330537999049,None,95.29313090001233,None,XXX,2022_Jun_14_1715,Fingertapping,2021.2.0,59.864287657928564,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,110.29283589997794,111.29262369999196,0.012375080143101513,None,110.29283589997794,None,120.30867299996316,121.30861099995673,120.30903767999261,None,120.30867299996316,None,XXX,2022_Jun_14_1715,Fingertapping,2021.2.0,59.864287657928564,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,3,0,3,0,,,,,,,,,,,,,,,,,,,,,135.30779230000917,136.30778409994673,0.012151080067269504,None,135.30779230000917,None,145.30739679990802,146.30720739997923,145.30745757995174,None,145.30739679990802,None,XXX,2022_Jun_14_1715,Fingertapping,2021.2.0,59.864287657928564,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,4,0,4,0,,,,,,,,,,,,,,,,,,,,,160.30665219994262,161.30639179993887,0.012061080080457032,None,160.30665219994262,None,170.30616129992995,171.3061474999413,170.30606307992713,None,170.30616129992995,None,XXX,2022_Jun_14_1715,Fingertapping,2021.2.0,59.864287657928564,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,5,0,5,0,,,,,,,,,,,,,,,,,,,,,185.3052827999927,186.30527619994245,0.012307580094784498,None,185.3052827999927,None,195.30489849997684,196.3046157999197,195.30493207992987,None,195.30489849997684,None,XXX,2022_Jun_14_1715,Fingertapping,2021.2.0,59.864287657928564,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,6,0,6,0,,,,,,,,,,,,,,,,,,,,,210.3040750999935,211.30380019999575,0.012833479908294976,None,210.3040750999935,None,220.303564599948,221.30382999998983,220.30352207990364,None,220.303564599948,None,XXX,2022_Jun_14_1715,Fingertapping,2021.2.0,59.864287657928564,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,7,0,7,0,,,,,,,,,,,,,,,,,,,,,235.30254049994983,236.3027340999106,0.012789180036634207,None,235.30254049994983,None,245.30236329999752,246.30246329994407,245.30226237997414,None,245.30236329999752,None,XXX,2022_Jun_14_1715,Fingertapping,2021.2.0,59.864287657928564,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,8,0,8,0,,,,,,,,,,,,,,,,,,,,,260.3015151999425,261.3017208999954,0.012310580001212656,None,260.3015151999425,None,270.30162949999794,271.30129339999985,270.3008005799027,None,270.30162949999794,None,XXX,2022_Jun_14_1715,Fingertapping,2021.2.0,59.864287657928564,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,9,0,9,0,,,,,,,,,,,,,,,,,,,,,285.3005014999071,286.30005409999285,0.01224348007235676,None,285.3005014999071,None,295.3000383999897,296.2996976999566,295.29970427993686,None,295.3000383999897,None,XXX,2022_Jun_14_1715,Fingertapping,2021.2.0,59.864287657928564,
