condition,textstim,textdur,sound,recoverydur,stopsound,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_9.started,text_9.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_5.started,text_5.stopped,sound_3.started,sound_3.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,sound_2.started,sound_2.stopped,text_3.started,text_3.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,6.063950499985367,None,space,2.823110800003633,6.063950499985367,None,,,,,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_07_1644,Fingertapping,2021.2.0,59.74725713416826,
left,left,1,Audio\\left.wav,1,Audio\\Stop.wav,1,0,0,0,0,,,,,,,8.914322799770162,10.914217699784786,11.897259059967473,None,11.897576899966225,12.897183499997482,12.897183499997482,13.897494799923152,13.897494799923152,14.897279299795628,15.03154889983125,16.0470759999007,0.0069811600260436535,None,15.03154889983125,None,25.029980399878696,26.03039489989169,25.03055046000518,None,25.029980399878696,None,XXX,2022_Mar_07_1644,Fingertapping,2021.2.0,59.74725713416826,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,2,0,1,1,1,,,,,,,,,,,,,,,,,40.029247500002384,41.029218199895695,0.011953660286962986,None,40.029247500002384,None,50.028766699833795,51.028725599870086,50.02997995996848,None,50.028766699833795,None,XXX,2022_Mar_07_1644,Fingertapping,2021.2.0,59.74725713416826,
left,left,1,Audio\\left.wav,1,Audio\\Stop.wav,1,1,0,2,0,,,,,,,,,,,,,,,,,65.02801889996044,66.02832519984804,0.012130060000345111,None,65.02801889996044,None,75.02779549988918,76.02775129978545,75.02793055996298,None,75.02779549988918,None,XXX,2022_Mar_07_1644,Fingertapping,2021.2.0,59.74725713416826,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,2,1,1,3,1,,,,,,,,,,,,,,,,,90.02730689989403,91.02687829989009,0.012169159948825836,None,90.02730689989403,None,100.0277933999896,101.04323689988814,100.0265628599096,None,100.0277933999896,None,XXX,2022_Mar_07_1644,Fingertapping,2021.2.0,59.74725713416826,
left,left,1,Audio\\left.wav,1,Audio\\Stop.wav,1,2,0,4,0,,,,,,,,,,,,,,,,,115.04249389981851,116.0422636999283,0.013490960001945496,None,115.04249389981851,None,125.04269689996727,126.05844999989495,125.0419327599462,None,125.04269689996727,None,XXX,2022_Mar_07_1644,Fingertapping,2021.2.0,59.74725713416826,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,2,2,1,5,1,,,,,,,,,,,,,,,,,140.05795950000174,141.0577926998958,0.013691860251128674,None,140.05795950000174,None,150.05752599984407,151.0572190999519,150.05746965985745,None,150.05752599984407,None,XXX,2022_Mar_07_1644,Fingertapping,2021.2.0,59.74725713416826,
left,left,1,Audio\\left.wav,1,Audio\\Stop.wav,1,3,0,6,0,,,,,,,,,,,,,,,,,165.05654059979133,166.0566586998757,0.01238526008091867,None,165.05654059979133,None,175.0559973998461,176.0562897999771,175.0559906600043,None,175.0559973998461,None,XXX,2022_Mar_07_1644,Fingertapping,2021.2.0,59.74725713416826,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,2,3,1,7,1,,,,,,,,,,,,,,,,,190.05537199997343,191.0559531999752,0.012584559852257371,None,190.05537199997343,None,200.05504379980266,201.05501329991966,200.05481595979072,None,200.05504379980266,None,XXX,2022_Mar_07_1644,Fingertapping,2021.2.0,59.74725713416826,
left,left,1,Audio\\left.wav,1,Audio\\Stop.wav,1,4,0,8,0,,,,,,,,,,,,,,,,,215.05442029982805,216.05422169994563,0.01233616005629301,None,215.05442029982805,None,225.05424849991687,226.0538863998372,225.05363785978406,None,225.05424849991687,None,XXX,2022_Mar_07_1644,Fingertapping,2021.2.0,59.74725713416826,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,2,4,1,9,1,,,,,,,,,,,,,,,,,240.0696966999676,241.0695504997857,0.013509159907698631,None,240.0696966999676,None,250.06926039978862,251.06903679994866,250.0690312598832,None,250.06926039978862,None,XXX,2022_Mar_07_1644,Fingertapping,2021.2.0,59.74725713416826,
