condition,textstim,textdur,sound,recoverydur,stopsound,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_9.started,text_9.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_5.started,text_5.stopped,sound_3.started,sound_3.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,Baseline_text.started,Baseline_text.stopped,text_10.started,text_10.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,sound_2.started,sound_2.stopped,text_3.started,text_3.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,6.002320899977349,None,space,9.690815899986774,6.002320899977349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,XXX,2022_May_13_1359,Fingertapping,2021.2.0,59.9359404674698,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,0,0,0,0,,,,,,,15.714576400001533,17.714662499987753,18.69744047000131,None,18.697711699991487,19.697483399999328,19.697483399999328,20.69752139999764,20.69752139999764,21.697405399987474,21.847752599976957,23.84727179998299,23.830612199992174,None,43.83117520000087,44.84624379998422,0.005223169981036335,None,43.83117520000087,None,53.845866699994076,54.84555460000411,53.84586416998354,None,53.845866699994076,None,XXX,2022_May_13_1359,Fingertapping,2021.2.0,59.9359404674698,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,68.84522439999273,69.84491759998491,0.011899670003913343,None,68.84522439999273,None,78.84455369997886,79.84512119999272,78.84460446999583,None,78.84455369997886,None,XXX,2022_May_13_1359,Fingertapping,2021.2.0,59.9359404674698,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,93.84393559998716,94.84373639998375,0.012341170018771663,None,93.84393559998716,None,103.84328760000062,104.84314099999028,103.84331286999804,None,103.84328760000062,None,XXX,2022_May_13_1359,Fingertapping,2021.2.0,59.9359404674698,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,3,0,3,0,,,,,,,,,,,,,,,,,,,,,118.84264019998955,119.84255410000333,0.012686570000369102,None,118.84264019998955,None,128.84179669999867,129.84183449999546,128.8420977700007,None,128.84179669999867,None,XXX,2022_May_13_1359,Fingertapping,2021.2.0,59.9359404674698,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,4,0,4,0,,,,,,,,,,,,,,,,,,,,,143.84145209999406,144.84113519999664,0.012762970029143617,None,143.84145209999406,None,153.8407176999899,154.84075390000362,153.84085006998794,None,153.8407176999899,None,XXX,2022_May_13_1359,Fingertapping,2021.2.0,59.9359404674698,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,5,0,5,0,,,,,,,,,,,,,,,,,,,,,168.84013440000126,169.8404356999963,0.01268236999749206,None,168.84013440000126,None,178.83962299997802,179.83972899999935,178.83964146998187,None,178.83962299997802,None,XXX,2022_May_13_1359,Fingertapping,2021.2.0,59.9359404674698,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,6,0,6,0,,,,,,,,,,,,,,,,,,,,,193.83885919998283,194.83903400000418,0.012751870002830401,None,193.83885919998283,None,203.838408599986,204.8385301999806,203.83824746999016,None,203.838408599986,None,XXX,2022_May_13_1359,Fingertapping,2021.2.0,59.9359404674698,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,7,0,7,0,,,,,,,,,,,,,,,,,,,,,218.85426510000252,219.85411839999142,0.014251669985242188,None,218.85426510000252,None,228.85370439998223,229.85360569998738,228.8537546699954,None,228.85370439998223,None,XXX,2022_May_13_1359,Fingertapping,2021.2.0,59.9359404674698,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,8,0,8,0,,,,,,,,,,,,,,,,,,,,,243.85290699999314,244.85305989999324,0.012609069992322475,None,243.85290699999314,None,253.85242799998377,254.8524766000046,253.85253286997613,None,253.85242799998377,None,XXX,2022_May_13_1359,Fingertapping,2021.2.0,59.9359404674698,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,9,0,9,0,,,,,,,,,,,,,,,,,,,,,268.85165269998834,269.85161280000466,0.012201170000480488,None,268.85165269998834,None,278.85161519999383,279.85123579998617,278.851182169994,None,278.85161519999383,None,XXX,2022_May_13_1359,Fingertapping,2021.2.0,59.9359404674698,
