condition,textstim,textdur,sound,recoverydur,stopsound,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_9.started,text_9.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_5.started,text_5.stopped,sound_3.started,sound_3.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,sound_2.started,sound_2.stopped,text_3.started,text_3.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,5.838693500001682,None,space,0.8835830999887548,5.838693500001682,None,,,,,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_11_0953,Fingertapping,2021.2.0,59.85798095656341,
left,left,1,Audio\\left.wav,1,Audio\\Stop.wav,1,0,0,0,0,,,,,,,6.749466599983862,8.749829199980013,9.732940209994558,None,9.732808200002182,10.73280599998543,10.73280599998543,11.732579200004693,11.732579200004693,12.732644000003347,12.867057399998885,13.865940299991053,0.0056583099940326065,None,12.867057399998885,None,22.882043399993563,23.88191850000294,22.88217381000286,None,22.882043399993563,None,XXX,2022_Mar_11_0953,Fingertapping,2021.2.0,59.85798095656341,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,2,0,1,1,1,,,,,,,,,,,,,,,,,37.88317499999539,38.8979929999914,0.004867609997745603,None,37.88317499999539,None,47.89770539998426,48.89762649999466,47.897490010008916,None,47.89770539998426,None,XXX,2022_Mar_11_0953,Fingertapping,2021.2.0,59.85798095656341,
left,left,1,Audio\\left.wav,1,Audio\\Stop.wav,1,1,0,2,0,,,,,,,,,,,,,,,,,62.913581000000704,63.913755399989896,0.012932110024848953,None,62.913581000000704,None,72.9128940999799,73.91276720000315,72.91304201000602,None,72.9128940999799,None,XXX,2022_Mar_11_0953,Fingertapping,2021.2.0,59.85798095656341,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,2,1,1,3,1,,,,,,,,,,,,,,,,,87.91235080000479,88.91203300000052,0.010602110007312149,None,87.91235080000479,None,97.91184899999644,98.91176519999863,97.91186760999844,None,97.91184899999644,None,XXX,2022_Mar_11_0953,Fingertapping,2021.2.0,59.85798095656341,
left,left,1,Audio\\left.wav,1,Audio\\Stop.wav,1,2,0,4,0,,,,,,,,,,,,,,,,,112.92764999999781,113.9275291999802,0.012825609999708831,None,112.92764999999781,None,122.92730949999532,123.92734579998069,122.9269957099983,None,122.92730949999532,None,XXX,2022_Mar_11_0953,Fingertapping,2021.2.0,59.85798095656341,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,2,2,1,5,1,,,,,,,,,,,,,,,,,137.9262233999907,138.92624609998893,0.010855609987629578,None,137.9262233999907,None,147.92610869999044,148.92596639998374,147.92598920998861,None,147.92610869999044,None,XXX,2022_Mar_11_0953,Fingertapping,2021.2.0,59.85798095656341,
left,left,1,Audio\\left.wav,1,Audio\\Stop.wav,1,3,0,6,0,,,,,,,,,,,,,,,,,162.92514669999946,163.92508049999014,0.011285209999186918,None,162.92514669999946,None,172.92456829998991,173.92450819999794,172.9247078099812,None,172.92456829998991,None,XXX,2022_Mar_11_0953,Fingertapping,2021.2.0,59.85798095656341,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,2,3,1,7,1,,,,,,,,,,,,,,,,,187.92387139998027,188.92368780000834,0.010326810006517917,None,187.92387139998027,None,197.9233287999814,198.92322209998383,197.92351881000795,None,197.9233287999814,None,XXX,2022_Mar_11_0953,Fingertapping,2021.2.0,59.85798095656341,
left,left,1,Audio\\left.wav,1,Audio\\Stop.wav,1,4,0,8,0,,,,,,,,,,,,,,,,,212.9227264999936,213.92263389998698,0.01141531000030227,None,212.9227264999936,None,222.92201260000002,223.9221828999871,222.9222408099973,None,222.92201260000002,None,XXX,2022_Mar_11_0953,Fingertapping,2021.2.0,59.85798095656341,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,2,4,1,9,1,,,,,,,,,,,,,,,,,237.92149449998396,238.9212454999797,0.0111634100030642,None,237.92149449998396,None,247.920784499991,248.9208970000036,247.92082811000873,None,247.920784499991,None,XXX,2022_Mar_11_0953,Fingertapping,2021.2.0,59.85798095656341,
