condition,textstim,textdur,sound,recoverydur,stopsound,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_9.started,text_9.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_5.started,text_5.stopped,sound_3.started,sound_3.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,sound_2.started,sound_2.stopped,text_3.started,text_3.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,5.864432399859652,None,space,11.807287200121209,5.864432399859652,None,,,,,,,,,,,,,,,,,,,,,,,XXX,2022_May_05_1415,Fingertapping,2021.2.0,59.92836166305766,
left,left,1,Audio\\left.wav,1,Audio\\Stop.wav,1,0,0,0,0,,,,,,,17.70119129982777,19.701119099976495,20.684791499888526,None,20.684568799799308,21.68411949998699,21.68411949998699,22.68450769991614,22.68450769991614,23.684479999821633,23.83954059984535,24.85070319985971,0.001806299900636077,None,23.83954059984535,None,33.85092529980466,34.850373699795455,33.85028099981137,None,33.85092529980466,None,XXX,2022_May_05_1415,Fingertapping,2021.2.0,59.92836166305766,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,2,0,1,1,1,,,,,,,,,,,,,,,,,48.866704899817705,49.8662050999701,0.007230800110846758,None,48.866704899817705,None,58.866163400001824,59.86581079987809,58.86610129978508,None,58.866163400001824,None,XXX,2022_May_05_1415,Fingertapping,2021.2.0,59.92836166305766,
left,left,1,Audio\\left.wav,1,Audio\\Stop.wav,1,1,0,2,0,,,,,,,,,,,,,,,,,73.86564629990608,74.86545789986849,0.010528100188821554,None,73.86564629990608,None,83.86491389991716,84.86506429989822,83.86499769999645,None,83.86491389991716,None,XXX,2022_May_05_1415,Fingertapping,2021.2.0,59.92836166305766,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,2,1,1,3,1,,,,,,,,,,,,,,,,,98.86436919984408,99.8640097999014,0.011096900096163154,None,98.86436919984408,None,108.86372339981608,109.86342429998331,108.86360549987293,None,108.86372339981608,None,XXX,2022_May_05_1415,Fingertapping,2021.2.0,59.92836166305766,
left,left,1,Audio\\left.wav,1,Audio\\Stop.wav,1,2,0,4,0,,,,,,,,,,,,,,,,,123.8638780999463,124.86298529990017,0.011485400144010782,None,123.8638780999463,None,133.8790181998629,134.87904679984786,133.87889259997755,None,133.8790181998629,None,XXX,2022_May_05_1415,Fingertapping,2021.2.0,59.92836166305766,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,2,2,1,5,1,,,,,,,,,,,,,,,,,148.87855829996988,149.8783742999658,0.011213599937036633,None,148.87855829996988,None,158.87808239995502,159.87792859994806,158.87785700000822,None,158.87808239995502,None,XXX,2022_May_05_1415,Fingertapping,2021.2.0,59.92836166305766,
left,left,1,Audio\\left.wav,1,Audio\\Stop.wav,1,3,0,6,0,,,,,,,,,,,,,,,,,173.87716789986007,174.8774404998403,0.010677899932488799,None,173.87716789986007,None,183.87644709995948,184.8764407997951,183.8766346000135,None,183.87644709995948,None,XXX,2022_May_05_1415,Fingertapping,2021.2.0,59.92836166305766,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,2,3,1,7,1,,,,,,,,,,,,,,,,,198.87628149986267,199.8762614999432,0.010320700006559491,None,198.87628149986267,None,208.87570529989898,209.87541039986536,208.87553419978357,None,208.87570529989898,None,XXX,2022_May_05_1415,Fingertapping,2021.2.0,59.92836166305766,
left,left,1,Audio\\left.wav,1,Audio\\Stop.wav,1,4,0,8,0,,,,,,,,,,,,,,,,,223.87476029992104,224.87496509985067,0.011278299847617745,None,223.87476029992104,None,233.8744446998462,234.87449189997278,233.87422279980964,None,233.8744446998462,None,XXX,2022_May_05_1415,Fingertapping,2021.2.0,59.92836166305766,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,2,4,1,9,1,,,,,,,,,,,,,,,,,248.87369129993021,249.87350389990024,0.010413600131869316,None,248.87369129993021,None,258.87323269993067,259.8734059999697,258.87292019990275,None,258.87323269993067,None,XXX,2022_May_05_1415,Fingertapping,2021.2.0,59.92836166305766,
